CollectedDate,Path,Title,TotalViews,UniqueVisitors
"2026-05-08","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",1,1
"2026-05-09","/ZacharyLuz/Get-AzAIModelAvailability","Overview",16,11
"2026-05-09","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-10","/ZacharyLuz/Get-AzAIModelAvailability","Overview",17,12
"2026-05-10","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",4,2
"2026-05-11","/ZacharyLuz/Get-AzAIModelAvailability","Overview",15,12
"2026-05-11","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",2,2
"2026-05-12","/ZacharyLuz/Get-AzAIModelAvailability","Overview",17,11
"2026-05-12","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-12","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-13","/ZacharyLuz/Get-AzAIModelAvailability","Overview",15,9
"2026-05-13","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-13","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-14","/ZacharyLuz/Get-AzAIModelAvailability","Overview",15,8
"2026-05-14","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-14","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-15","/ZacharyLuz/Get-AzAIModelAvailability","Overview",10,5
"2026-05-15","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-15","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-16","/ZacharyLuz/Get-AzAIModelAvailability","Overview",12,5
"2026-05-16","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-16","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-17","/ZacharyLuz/Get-AzAIModelAvailability","Overview",12,5
"2026-05-17","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-17","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-18","/ZacharyLuz/Get-AzAIModelAvailability","Overview",12,5
"2026-05-18","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-18","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-19","/ZacharyLuz/Get-AzAIModelAvailability","Overview",12,5
"2026-05-19","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",3,1
"2026-05-19","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-20","/ZacharyLuz/Get-AzAIModelAvailability","Overview",13,6
"2026-05-20","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",4,2
"2026-05-20","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-21","/ZacharyLuz/Get-AzAIModelAvailability","Overview",12,5
"2026-05-21","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",4,2
"2026-05-21","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-22","/ZacharyLuz/Get-AzAIModelAvailability","Overview",12,5
"2026-05-22","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",4,2
"2026-05-22","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-05-23","/ZacharyLuz/Get-AzAIModelAvailability","Overview",12,6
"2026-05-23","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",4,2
